Семейство,Име,Абревиатура,Създател,Тип лиценз,Данни за лиценза,Достъп с чат интерфейс,Лиценз за достъп с чат интерфейс,Достъп с API,Лиценз за достъп с API,Достъп за изтегляне,Лиценз за изтегляне,Дата на публикуване,Модалност,Размер в брой параметри,Архитектура на модела,Директна връзка към официалната страница на модела (ако има),Връзка в Ollama (ако има),Връзка в GitHub (ако има),Връзка в HuggingFace (ако има),Кратко описание на предназначението на модела,Кратко описание на данните за трениране,Кратко описание на начина на трениране,Многоезичен,Заложени езици,Включва ли се български,Включва ли се български (детайли),Информация за данните за тестване,"Връзки към публикации, описващи модела",Дължина на контекста,Допълнителни методи или особености на модела,Фина настройка,Други детайли
Llama,Llama 3.1,Llama 3.1,Meta,"Свободен, с ограничения","Llama лиценз с ограничения за академични и комерсиални цели, <a href=""https://ai.meta.com/llama/license/"" target=""_blank"">https://ai.meta.com/llama/license/</a>",не,,да,безплатен,да,безплатен,23.07.2024,текст към текст,8 милиарда параметъра,"само декодер (Vaswani et al., 2017)","<a href=""https://www.llama.com/llama-downloads/"" target=""_blank"">https://www.llama.com/llama-downloads/</a>","<a href=""https://ollama.com/library/llama3"" target=""_blank"">https://ollama.com/library/llama3</a>","<a href=""https://github.com/facebookresearch/llama"" target=""_blank"">https://github.com/facebookresearch/llama</a>","<a href=""https://huggingface.co/collections/meta-llama/llama-31-669fc079a0c406a149a5738f"" target=""_blank"">https://huggingface.co/collections/meta-llama/llama-31-669fc079a0c406a149a5738f</a>","Моделът е подходящ за различни задачи за генериране на текст, отговаряне на въпроси, обобщения и разсъждения.",Предварително е трениран върху 15 трилиона (15 х 10^12) токъна от публично достъпни онлайн ресурси.,"Паралелна обработка на ниво данни, на ниво модели и на ниво пайплайн.",да,"Официално 8 езика: английски, немски, френски, италиански, португалски, хинди, испански, тайландски. Отделно 5% от данните на над 30 езика.",не,,"Оценка въз основа на 1800 пропмта в 12 ключови ситуации: искане на съвет, брейнсторминг, класификация, отговор на затворен въпрос, кодиране, творческо писане, извличане на информация, превъплащаване в герой/персона, отворен отговор на въпрос, разсъждение, пренаписване на текст и обобщение.","The Llama 3 Herd of Models, <a href=""https://ai.meta.com/research/publications/the-llama-3-herd-of-models/"" target=""_blank"">https://ai.meta.com/research/publications/the-llama-3-herd-of-models/</a>",128K,"Grouped-Query Attention (GQA); supervised fine-tuning (SFT), rejection sampling, proximal policy optimization (PPO), and direct preference optimization (DPO)","Supervised Fine-Tuning (SFT), Rejection Sampling (RS), and Direct Preference Optimization (DPO)",
Llama,Llama 3.1,Llama 3.1,Meta,"Свободен, с ограничения","Llama лиценз с ограничения за академични и комерсиални цели, <a href=""https://ai.meta.com/llama/license/"" target=""_blank"">https://ai.meta.com/llama/license/</a>",не,,да,безплатен,да,безплатен,23.07.2024,текст към текст,70 милиарда параметъра,"само декодер (Vaswani et al., 2017)","<a href=""https://www.llama.com/llama-downloads/"" target=""_blank"">https://www.llama.com/llama-downloads/</a>","<a href=""https://ollama.com/library/llama3"" target=""_blank"">https://ollama.com/library/llama3</a>","<a href=""https://github.com/facebookresearch/llama"" target=""_blank"">https://github.com/facebookresearch/llama</a>","<a href=""https://huggingface.co/collections/meta-llama/llama-31-669fc079a0c406a149a5738f"" target=""_blank"">https://huggingface.co/collections/meta-llama/llama-31-669fc079a0c406a149a5738f</a>","Моделът е подходящ за различни задачи за генериране на текст, отговаряне на въпроси, обобщения и разсъждения.",Предварително е трениран върху 15 трилиона (15 х 10^12) токъна от публично достъпни онлайн ресурси.,"Паралелна обработка на ниво данни, на ниво модели и на ниво пайплайн.",да,"Официално 8 езика: английски, немски, френски, италиански, португалски, хинди, испански, тайландски. Отделно 5% от данните на над 30 езика.",не,,"Оценка въз основа на 1800 пропмта в 12 ключови ситуации: искане на съвет, брейнсторминг, класификация, отговор на затворен въпрос, кодиране, творческо писане, извличане на информация, превъплащаване в герой/персона, отворен отговор на въпрос, разсъждение, пренаписване на текст и обобщение.","The Llama 3 Herd of Models, <a href=""https://ai.meta.com/research/publications/the-llama-3-herd-of-models/"" target=""_blank"">https://ai.meta.com/research/publications/the-llama-3-herd-of-models/</a>",128K,"Grouped-Query Attention (GQA); supervised fine-tuning (SFT), rejection sampling, proximal policy optimization (PPO), and direct preference optimization (DPO)","Supervised Fine-Tuning (SFT), Rejection Sampling (RS), and Direct Preference Optimization (DPO)",
Llama,Llama 3.1,Llama 3.1,Meta,"Свободен, с ограничения","Llama лиценз с ограничения за академични и комерсиални цели, <a href=""https://ai.meta.com/llama/license/"" target=""_blank"">https://ai.meta.com/llama/license/</a>",не,,да,безплатен,да,безплатен,23.07.2024,текст към текст,405 милиарда параметъра,"само декодер (Vaswani et al., 2017)","<a href=""https://www.llama.com/llama-downloads/"" target=""_blank"">https://www.llama.com/llama-downloads/</a>","<a href=""https://ollama.com/library/llama3"" target=""_blank"">https://ollama.com/library/llama3</a>","<a href=""https://github.com/facebookresearch/llama"" target=""_blank"">https://github.com/facebookresearch/llama</a>","<a href=""https://huggingface.co/collections/meta-llama/llama-31-669fc079a0c406a149a5738f"" target=""_blank"">https://huggingface.co/collections/meta-llama/llama-31-669fc079a0c406a149a5738f</a>","Моделът е подходящ за различни задачи за генериране на текст, отговаряне на въпроси, обобщения и разсъждения.",Предварително е трениран върху 15 трилиона (15 х 10^12) токъна от публично достъпни онлайн ресурси.,"Паралелна обработка на ниво данни, на ниво модели и на ниво пайплайн.",да,"Официално 8 езика: английски, немски, френски, италиански, португалски, хинди, испански, тайландски. Отделно 5% от данните на над 30 езика.",не,,"Оценка въз основа на 1800 пропмта в 12 ключови ситуации: искане на съвет, брейнсторминг, класификация, отговор на затворен въпрос, кодиране, творческо писане, извличане на информация, превъплащаване в герой/персона, отворен отговор на въпрос, разсъждение, пренаписване на текст и обобщение.","The Llama 3 Herd of Models, <a href=""https://ai.meta.com/research/publications/the-llama-3-herd-of-models/"" target=""_blank"">https://ai.meta.com/research/publications/the-llama-3-herd-of-models/</a>",128K,"Grouped-Query Attention (GQA); supervised fine-tuning (SFT), rejection sampling, proximal policy optimization (PPO), and direct preference optimization (DPO)","Supervised Fine-Tuning (SFT), Rejection Sampling (RS), and Direct Preference Optimization (DPO)",
Llama,Llama 3.2,Llama 3.2,Meta,"Свободен, с ограничения","Llama лиценз с ограничения за академични и комерсиални цели, <a href=""https://ai.meta.com/llama/license/"" target=""_blank"">https://ai.meta.com/llama/license/</a>",не,,да,безплатен,да,безплатен,25.09.2024,текст към текст,1 милиард параметъра,"само декодер (Vaswani et al., 2017)","<a href=""https://www.llama.com/llama-downloads/"" target=""_blank"">https://www.llama.com/llama-downloads/</a>","<a href=""https://ollama.com/library/llama3.2"" target=""_blank"">https://ollama.com/library/llama3.2</a>","<a href=""https://github.com/facebookresearch/llama"" target=""_blank"">https://github.com/facebookresearch/llama</a>","<a href=""https://huggingface.co/collections/meta-llama/llama-32-66f448ffc8c32f949b04c8cf"" target=""_blank"">https://huggingface.co/collections/meta-llama/llama-32-66f448ffc8c32f949b04c8cf</a>","Модел 3B: Добри резултати на задачи като следване на инструкции, резюмиране, пренаписване на промпт и др. Модел 1B: управление на лични данни, извличане на многоезично състояние и др.",Предварително е трениран върху 9 трилиона (9 х 10^12) токъна от публично достъпни онлайн ресурси.,"Паралелна обработка на ниво данни, на ниво модели и на ниво пайплайн.",да,"Официално 8 езика: английски, немски, френски, италиански, португалски, хинди, испански, тайландски. Но трениран на повече езици.",не,,Резултатите на 1B са близки до тези на Gemma 2 (2B),"Introducing Meta Llama 3: The most capable openly available LLM to date, <a href=""https://ai.meta.com/blog/meta-llama-3/"" target=""_blank"">https://ai.meta.com/blog/meta-llama-3/</a>; The Llama 3 Herd of Models, <a href=""https://ai.meta.com/research/publications/the-llama-3-herd-of-models/"" target=""_blank"">https://ai.meta.com/research/publications/the-llama-3-herd-of-models/</a>",128K,"Grouped-Query Attention (GQA); supervised fine-tuning (SFT), rejection sampling, proximal policy optimization (PPO), and direct preference optimization (DPO)",,
Llama,Llama 3.2,Llama 3.2,Meta,"Свободен, с ограничения","Llama лиценз с ограничения за академични и комерсиални цели, <a href=""https://ai.meta.com/llama/license/"" target=""_blank"">https://ai.meta.com/llama/license/</a>",не,,да,безплатен,да,безплатен,25.09.2024,текст към текст,3 милиарда параметъра,"само декодер (Vaswani et al., 2017)","<a href=""https://www.llama.com/llama-downloads/"" target=""_blank"">https://www.llama.com/llama-downloads/</a>","<a href=""https://ollama.com/library/llama3.2"" target=""_blank"">https://ollama.com/library/llama3.2</a>","<a href=""https://github.com/facebookresearch/llama"" target=""_blank"">https://github.com/facebookresearch/llama</a>","<a href=""https://huggingface.co/collections/meta-llama/llama-32-66f448ffc8c32f949b04c8cf"" target=""_blank"">https://huggingface.co/collections/meta-llama/llama-32-66f448ffc8c32f949b04c8cf</a>","Модел 3B: Добри резултати на задачи като следване на инструкции, резюмиране, пренаписване на промпт и др. Модел 1B: управление на лични данни, извличане на многоезично състояние и др.",Предварително е трениран върху 9 трилиона (9 х 10^12) токъна от публично достъпни онлайн ресурси.,"Паралелна обработка на ниво данни, на ниво модели и на ниво пайплайн.",да,"Официално 8 езика: английски, немски, френски, италиански, португалски, хинди, испански, тайландски. Но трениран на повече езици.",не,,Резултатите на 1B са близки до тези на Gemma 2 (2B),"Introducing Meta Llama 3: The most capable openly available LLM to date, <a href=""https://ai.meta.com/blog/meta-llama-3/"" target=""_blank"">https://ai.meta.com/blog/meta-llama-3/</a>; The Llama 3 Herd of Models, <a href=""https://ai.meta.com/research/publications/the-llama-3-herd-of-models/"" target=""_blank"">https://ai.meta.com/research/publications/the-llama-3-herd-of-models/</a>",128K,"Grouped-Query Attention (GQA); supervised fine-tuning (SFT), rejection sampling, proximal policy optimization (PPO), and direct preference optimization (DPO)",,
Llama,Tiny Llama,Tiny Llama,"StatNLP Research Group, Singapore University of Technology and Design",Свободен,,не,,да,безплатен,да,безплатен,04.06.2024,"текст към текст, реч към текст, текст към реч",1.1 милиарда параметъра,"предварително трениран енкодер за реч, адаптор за реч (Vaswani et al., 2017)",,,,"<a href=""https://huggingface.co/TinyLlama/TinyLlama-1.1B-Chat-v1.0"" target=""_blank"">https://huggingface.co/TinyLlama/TinyLlama-1.1B-Chat-v1.0</a>","Моделът е подходящ за различни задачи за обобщения и разсъждения, решаване на проблеми.","Трениран на данни от <a href=""https://huggingface.co/datasets/openbmb/UltraFeedback"" target=""_blank"">https://huggingface.co/datasets/openbmb/UltraFeedback</a>",,да,Многоезичен,не,,,"TinyLlama: An Open-Source Small Language Model, <a href=""https://arxiv.org/abs/2401.02385"" target=""_blank"">https://arxiv.org/abs/2401.02385</a>",,,"RMSNorm, SwiGLU, Grouped-query Attention",
Llama,Llama 3 ChatQA,Llama 3 ChatQA,NVIDIA,"Свободен, с ограничения","<a href=""https://chatqa-project.github.io/"" target=""_blank"">https://chatqa-project.github.io/</a>",да,безплатен,да,безплатен,да,безплатен,18.01.2024,текст към текст,8 милиарда параметъра,"само декодер (Vaswani et al., 2017)",,,,"<a href=""https://huggingface.co/nvidia/Llama3-ChatQA-1.5-8B"" target=""_blank"">https://huggingface.co/nvidia/Llama3-ChatQA-1.5-8B</a>","Моделът е подходящ за различни задачи за генериране на текст, отговаряне на въпроси, обобщения и разсъждения.",Предварително е трениран върху 7K диалога с анотация от човек.,,да,Многоезичен,не,,,"ChatQA: Surpassing GPT-4 on Conversational QA and RAG, <a href=""https://arxiv.org/abs/2401.10225"" target=""_blank"">https://arxiv.org/abs/2401.10225</a>",,,,
Llama,Llama 3 ChatQA,Llama 3 ChatQA,NVIDIA,"Свободен, с ограничения","<a href=""https://chatqa-project.github.io/"" target=""_blank"">https://chatqa-project.github.io/</a>",да,безплатен,да,безплатен,да,безплатен,18.01.2024,текст към текст,70 милиарда параметъра,"само декодер (Vaswani et al., 2017)",,,,"<a href=""https://huggingface.co/nvidia/Llama3-ChatQA-1.5-8B"" target=""_blank"">https://huggingface.co/nvidia/Llama3-ChatQA-1.5-8B</a>","Моделът е подходящ за различни задачи за генериране на текст, отговаряне на въпроси, обобщения и разсъждения.",Предварително е трениран върху 7K диалога с анотация от човек.,,да,Многоезичен,не,,,"ChatQA: Surpassing GPT-4 on Conversational QA and RAG, <a href=""https://arxiv.org/abs/2401.10225"" target=""_blank"">https://arxiv.org/abs/2401.10225</a>",,,,
Llama,Llama Omni,Llama Omni,"Natural Language Processing Group, Institute of Computing Technology, Chinese Academy of Sciences",Свободен,"Apache-2.0 <a href=""https://www.apache.org/licenses/LICENSE-2.0"">https://www.apache.org/licenses/LICENSE-2.0</a>",не,,не,,не,,10.09.2024,"текст към текст, реч към текст, текст към реч",8 милиарда параметъра,"предварително трениран енкодер за реч, адаптор за реч",,,"<a href=""https://github.com/ictnlp/LLaMA-Omni"" target=""_blank"">https://github.com/ictnlp/LLaMA-Omni</a>","<a href=""https://huggingface.co/ICTNLP/Llama-3.1-8B-Omni"" target=""_blank"">https://huggingface.co/ICTNLP/Llama-3.1-8B-Omni</a>","Моделът е подходящ за различни задачи за генериране на текст, отговаряне на въпроси, обобщения и разсъждения.",Предварително е трениран върху 7K диалога с анотация от човек.,,да,Многоезичен,не,,,"LLaMA-Omni: Seamless Speech Interaction with Large Language Models, <a href=""https://arxiv.org/abs/2409.06666"" target=""_blank"">https://arxiv.org/abs/2409.06666</a>",,,,
Llama,Llama 4 Maverick,Llama 4 Maverick,Meta (Meta Platforms Inc.),"Свободен, с ограничения","Llama 4 Community License Agreement (с ограничения за ЕС и компании с над 700 милиона активни потребители месечно) <a href=""https://www.llama.com/llama4/license/"">https://www.llama.com/llama4/license/</a>",не,,не,,не,,5.05.2025,"текст към текст, изображение към текст, аудио към текст, видео към текст","17 милиарда активни параметъра, общо 400 милиарда параметъра (128 експерта)","Mixture-of-Experts (MoE) архитектура с 128 експерта, autoregressive трансформатор, мултимодални данни","<a href=""https://www.llama.com/models/llama-4/"" target=""_blank"">https://www.llama.com/models/llama-4/</a>",,,"<a href=""https://huggingface.co/meta-llama/Llama-4-Maverick-Instruct"" target=""_blank"">https://huggingface.co/meta-llama/Llama-4-Maverick-Instruct</a>","Общ асистент и чат приложения, мултимодално разбиране на изображения и текст, разсъждения и програмиране, творчески проекти","Над 30 трилиона токъна разнообразни текстови данни, изображения и видео данни, дестилиран от Llama 4 Behemoth","Дестилация от по-големия модел Behemoth с нова loss функция, MoE обучение с 128 експерта",да,"Арабски, английски, френски, немски, хинди, индонезийски, италиански, португалски, испански, тагалог и други",не,,"MMLU Pro, GPQA Diamond, LiveCodeBench, MMMU, MathVista, ChartQA, DocVQA, мултимодални разсъждения","The Llama 4 herd: The beginning of a new era of natively multimodal AI innovation, <a href=""https://ai.meta.com/blog/llama-4-multimodal-intelligence/"" target=""_blank"">https://ai.meta.com/blog/llama-4-multimodal-intelligence/</a>",1M,MoE архитектура с 128 експерта,,
Gemma,Gemma 1,Gemma,Google DeepMind,Свободен,"Gemma свободен лиценз <a href=""https://ai.google.dev/gemma/terms"" target=""_blank"">https://ai.google.dev/gemma/terms</a>",не,,да,безплатен,да,безплатен,2024,текст към текст,2 милиарда параметъра,"само декодер (Vaswani et al., 2017)",,"<a href=""https://ollama.com/library/gemma"" target=""_blank"">https://ollama.com/library/gemma</a>",,"<a href=""https://huggingface.co/google/gemma-2b"" target=""_blank"">https://huggingface.co/google/gemma-2b</a>","Моделът е подходящ за различни задачи за генериране на текст, включително отговаряне на въпроси, обобщение и разсъждения. Сравнително малкият му размер прави възможно внедряването му в среди с ограничени ресурси.","Предварително е трениран върху 3 терабайта токъни с данни от уебдокументи (предимно на английски), математика и код.","Обучен е чрез дестилация от по-големите модели на Google DeepMind. За разлика от оригиналната архитектура енкодер-декодер на Transformers, представена в „Attention Is All You Need“ (<a href=""https://arxiv.org/abs/1706.03762)"" target=""_blank"">https://arxiv.org/abs/1706.03762)</a>, Gemma е модел само с декодер.",не,Английски,да,,"Според авторите си, моделът има по-добри резултати от съотносими модели в широка гама от области, включително диалог, разсъждения, математика и генериране на код.","Gemma: Open Models Based on Gemini Research and Technology, <a href=""https://storage.googleapis.com/deepmind-media/gemma/gemma-report.pdf"" target=""_blank"">https://storage.googleapis.com/deepmind-media/gemma/gemma-report.pdf</a>; <a href=""https://arxiv.org/abs/2403.08295"" target=""_blank"">https://arxiv.org/abs/2403.08295</a>",8K,"Multi-Query Attention, RoPE Embeddings, GeGLU Activations, RMSNorm.",,
Gemma,Gemma 1,Gemma,Google DeepMind,Свободен,"Gemma свободен лиценз <a href=""https://ai.google.dev/gemma/terms"" target=""_blank"">https://ai.google.dev/gemma/terms</a>",не,,да,безплатен,да,безплатен,2024,текст към текст,7 милиарда параметъра,"само декодер (Vaswani et al., 2017)",,"<a href=""https://ollama.com/library/gemma"" target=""_blank"">https://ollama.com/library/gemma</a>",,"<a href=""https://huggingface.co/google/gemma-2b"" target=""_blank"">https://huggingface.co/google/gemma-2b</a>","Моделът е подходящ за различни задачи за генериране на текст, включително отговаряне на въпроси, обобщение и разсъждения. Сравнително малкият му размер прави възможно внедряването му в среди с ограничени ресурси.","Предварително е трениран върху 3 терабайта токъни с данни от уебдокументи (предимно на английски), математика и код.","Обучен е чрез дестилация от по-големите модели на Google DeepMind. За разлика от оригиналната архитектура енкодер-декодер на Transformers, представена в „Attention Is All You Need“ (<a href=""https://arxiv.org/abs/1706.03762)"" target=""_blank"">https://arxiv.org/abs/1706.03762)</a>, Gemma е модел само с декодер.",не,Английски,да,,"Според авторите си, моделът има по-добри резултати от съотносими модели в широка гама от области, включително диалог, разсъждения, математика и генериране на код.","Gemma: Open Models Based on Gemini Research and Technology, <a href=""https://storage.googleapis.com/deepmind-media/gemma/gemma-report.pdf"" target=""_blank"">https://storage.googleapis.com/deepmind-media/gemma/gemma-report.pdf</a>; <a href=""https://arxiv.org/abs/2403.08295"" target=""_blank"">https://arxiv.org/abs/2403.08295</a>",8K,"Multi-Query Attention, RoPE Embeddings, GeGLU Activations, RMSNorm.",,
Gemma,Gemma 2,Gemma 2,Google DeepMind,Свободен,"Gemma свободен лиценз <a href=""https://ai.google.dev/gemma/terms"" target=""_blank"">https://ai.google.dev/gemma/terms</a>",не,,да,безплатен,да,безплатен,31.07.2024,текст към текст,2 милиарда параметъра,"само декодер (Vaswani et al., 2017)",,"<a href=""https://ollama.com/library/gemma2"" target=""_blank"">https://ollama.com/library/gemma2</a>",,,"Моделът е подходящ за различни задачи за генериране на текст, включително отговаряне на въпроси, обобщение и разсъждения. Сравнително малкият му размер прави възможно внедряването му в среди с ограничени ресурси.","Предварително е трениран върху данни от уебдокументи (предимно на английски), математика и код. 27B - 13 трилиона токъна; 9B - 8 трилиона токъна; 2B - 2 трилиона токъна.","Обучен е чрез дестилация от по-големите модели на Google DeepMind. За разлика от оригиналната архитектура енкодер-декодер на Transformers, представена в „Attention Is All You Need“ (<a href=""https://arxiv.org/abs/1706.03762)"" target=""_blank"">https://arxiv.org/abs/1706.03762)</a>, Gemma е модел само с декодер.",не,Английски,да,,"Според авторите си, моделът има по-добри резултати от съотносими модели в широка гама от области, включително диалог, разсъждения, математика и генериране на код.","<a href=""https://blog.google/technology/developers/google-gemma-2/"" target=""_blank"">https://blog.google/technology/developers/google-gemma-2/</a>",8K,"Multi-Query Attention, RoPE Embeddings, GeGLU Activations, RMSNorm.",,
Gemma,Gemma 2,Gemma 2,Google DeepMind,Свободен,"Gemma свободен лиценз <a href=""https://ai.google.dev/gemma/terms"" target=""_blank"">https://ai.google.dev/gemma/terms</a>",не,,да,безплатен,да,безплатен,31.07.2024,текст към текст,9 милиарда параметъра,"само декодер (Vaswani et al., 2017)",,"<a href=""https://ollama.com/library/gemma2"" target=""_blank"">https://ollama.com/library/gemma2</a>",,,"Моделът е подходящ за различни задачи за генериране на текст, включително отговаряне на въпроси, обобщение и разсъждения. Сравнително малкият му размер прави възможно внедряването му в среди с ограничени ресурси.","Предварително е трениран върху данни от уебдокументи (предимно на английски), математика и код. 27B - 13 трилиона токъна; 9B - 8 трилиона токъна; 2B - 2 трилиона токъна.","Обучен е чрез дестилация от по-големите модели на Google DeepMind. За разлика от оригиналната архитектура енкодер-декодер на Transformers, представена в „Attention Is All You Need“ (<a href=""https://arxiv.org/abs/1706.03762)"" target=""_blank"">https://arxiv.org/abs/1706.03762)</a>, Gemma е модел само с декодер.",не,Английски,да,,"Според авторите си, моделът има по-добри резултати от съотносими модели в широка гама от области, включително диалог, разсъждения, математика и генериране на код.","<a href=""https://blog.google/technology/developers/google-gemma-2/"" target=""_blank"">https://blog.google/technology/developers/google-gemma-2/</a>",8K,"Multi-Query Attention, RoPE Embeddings, GeGLU Activations, RMSNorm.",,
Gemma,Gemma 2,Gemma 2,Google DeepMind,Свободен,"Gemma свободен лиценз <a href=""https://ai.google.dev/gemma/terms"" target=""_blank"">https://ai.google.dev/gemma/terms</a>",не,,да,безплатен,да,безплатен,31.07.2024,текст към текст,27 милиарда параметъра,"само декодер (Vaswani et al., 2017)",,"<a href=""https://ollama.com/library/gemma2"" target=""_blank"">https://ollama.com/library/gemma2</a>",,,"Моделът е подходящ за различни задачи за генериране на текст, включително отговаряне на въпроси, обобщение и разсъждения. Сравнително малкият му размер прави възможно внедряването му в среди с ограничени ресурси.","Предварително е трениран върху данни от уебдокументи (предимно на английски), математика и код. 27B - 13 трилиона токъна; 9B - 8 трилиона токъна; 2B - 2 трилиона токъна.","Обучен е чрез дестилация от по-големите модели на Google DeepMind. За разлика от оригиналната архитектура енкодер-декодер на Transformers, представена в „Attention Is All You Need“ (<a href=""https://arxiv.org/abs/1706.03762)"" target=""_blank"">https://arxiv.org/abs/1706.03762)</a>, Gemma е модел само с декодер.",не,Английски,да,,"Според авторите си, моделът има по-добри резултати от съотносими модели в широка гама от области, включително диалог, разсъждения, математика и генериране на код.","<a href=""https://blog.google/technology/developers/google-gemma-2/"" target=""_blank"">https://blog.google/technology/developers/google-gemma-2/</a>",8K,"Multi-Query Attention, RoPE Embeddings, GeGLU Activations, RMSNorm.",,
Gemini,Gemini 1.5 Flash,Gemini 1.5 Flash,Google DeepMind,Платен,Платен лиценз на Google - Google Terms of Service and API Terms,да,безплатен,да,безплатен,не,,05.2024,"текст към текст, изображение към текст, аудио към текст, видео към текст, код към текст",неизвестно,"Оптимизирана версия на Gemini 1.5 за скорост и ефективност, базирана на MoE архитектура","<a href=""https://cloud.google.com/vertex-ai/generative-ai/docs/models/gemini/1-5-flash"" target=""_blank"">https://cloud.google.com/vertex-ai/generative-ai/docs/models/gemini/1-5-flash</a>",,,,"Задачи, изискващи бързо решаване, приложения, при които скоростта на отговор е критична, скалиране на различни задачи","Подобни данни на другите Gemini 1.5 модели, оптимизирани за скорост на обработката",Оптимизирано обучение за по-бърза обработка при запазване на качеството на по-големите модели,да,"100+ езика, включително английски, български, китайски, испански, френски, немски, руски и много други",да,,"Скорост на обработка, ефективност, чат, транскрипция, превод на дълъг контекст","Gemini 1.5 Pro updates, 1.5 Flash debut and 2 new Gemma models, <a href=""https://blog.google/technology/developers/gemini-gemma-developer-updates-may-2024/"" target=""_blank"">https://blog.google/technology/developers/gemini-gemma-developer-updates-may-2024/</a>",1M,"Оптимизиран за задачи с голяма честота, изискващи скорост на отговора",,"Лек модел, оптимизиран за скорост и ефективност, заменен от по-нови модели като Gemini 2.0 Flash"
Gemini,Gemini 2 Flash,Gemini 2 Flash,Google DeepMind,Платен,Платен лиценз на Google - Google Terms of Service and API Terms,да,безплатен,да,безплатен,не,,"12.2024 (експериментална версия), 02.2025 (общ достъп)","текст към текст, изображение към текст, аудио към текст, видео към текст, код към текст, текст към код",неизвестно,"Ниска латентност и подобрена производителност, наследник на 1.5 Flash, но превъзхожда дори 1.5 Pro","<a href=""https://cloud.google.com/vertex-ai/generative-ai/docs/models/gemini/2-0-flash"" target=""_blank"">https://cloud.google.com/vertex-ai/generative-ai/docs/models/gemini/2-0-flash</a>",,,,"Високообемни, високочестотни задачи, многомодални разсъждения, приложения в реално време, многомодално API в реално време",Подобрени данни за имплементиране в софтуерни агенти с фокус върху скорост и качество,Оптимизирано обучение със значително подобрена скорост (двойно по-бърз от 1.5 Flash) при запазване на качеството,да,"100+ езика, включително английски, български, китайски, испански, френски, немски, руски и много други",да,,"Скорост (двойно по-бърз от предшественика си 1 Flash), качество (превъзхожда 1.5 Pro), MMLU Pro, HiddenMath, Natural2Code","Gemini 2.0: Flash, Flash-Lite and Pro, <a href=""https://developers.googleblog.com/en/gemini-2-family-expands/"" target=""_blank"">https://developers.googleblog.com/en/gemini-2-family-expands/</a>",1M,"Първият модел в серията 2.0 с революционни подобрения в скоростта и възможностите, които могат да се имплементират в софтуерни агенти",,
GPT,GPT-4.1,GPT-4.1,OpenAI,Платен,"Платен достъп, API достъп",не,,не,,не,,14.04.2025,текст към текст,неизвестно,Подобрена трансформаторна архитектура със специализация за програмиране и следване на инструкции,"<a href=""https://openai.com/index/gpt-4-1/"" target=""_blank"">https://openai.com/index/gpt-4-1/</a>",,,,"Програмиране, следване на инструкции, уеб разработка, създаване на софтуер",Данни до юни 2024 със специален акцент върху програмен код,Подобрени техники за обучение с фокус върху формулиране и следване на инструкции,да,Многоезичен с фокус върху програмни езици,да,,"SWE-bench, задачи от състезания по програмиране, дълъг контекст, следване на инструкции","Introducing GPT-4.1 in the API (OpenAI, 2025), <a href=""https://openai.com/index/gpt-4-1/"" target=""_blank"">https://openai.com/index/gpt-4-1/</a>",1M,Специализирано обучение за програмиране и намаляване на излишните редакции в кода,,"Водещ модел за програмиране, значително подобрение в резултатите на SWE-bench"
Qwen,Qwen 2.5 Turbo,Qwen 2.5 Turbo,Alibaba Cloud,Платен,"Платен, собствен лиценз (достъпен само чрез API)",да,безплатен,да,безплатен,да,безплатен,11.2024,текст към текст,неизвестно,Оптимизиран за скорост модел с разредено внимание и DCA (Dual Chunk Attention),"<a href=""https://qwenlm.github.io/blog/qwen2.5-turbo/"" target=""_blank"">https://qwenlm.github.io/blog/qwen2.5-turbo/</a>",(само API),,,"Работа с големи документи, множество документи, цели хранилища",Базиран на Qwen2.5 с разширени данни големи документи,Оптимизации за дълъг контекст,да,Многоезична поддръжка като част от Qwen2.5,неизвестно,,"RULER (93.1 резултат), LV-Eval, LongBench-Chat, 100% точност на 1M Passkey Retrieval","Официален блог: <a href=""https://qwenlm.github.io/blog/qwen2.5-turbo/"" target=""_blank"">https://qwenlm.github.io/blog/qwen2.5-turbo/</a>",1M,"Sparse attention с 3.2-4.3x ускорение, DCA за управление на дълъг контекст",,
